name;open;high;low;close;volume;marketCap;timestamp
"2781";0.6616333683;0.6627505242;0.5987934639;0.610418298;9692510687.68;32966004671.84;"2023-12-11T00:00:00.000Z"
"2781";0.6103619572;0.6284131232;0.5833828318;0.6135175377;8633504266.19;33169837560.97;"2023-12-18T00:00:00.000Z"
"2781";0.6135034305;0.6557692119;0.6083865381;0.6149412216;9454508904.81;33283785350.86;"2023-12-25T00:00:00.000Z"
"2781";0.6156559565;0.6386270732;0.538765645;0.5517405422;10145462864.91;29910096169.14;"2024-01-01T00:00:00.000Z"
"2781";0.5517160942;0.6223402764;0.5506751899;0.5762326164;11363537592.59;31270312553.37;"2024-01-08T00:00:00.000Z"
"2781";0.5761553512;0.5884604947;0.5239365634;0.5461110369;6427950250.68;29675585018.2;"2024-01-15T00:00:00.000Z"
"2781";0.5462161528;0.5486381831;0.4975452058;0.5240936058;6289357830.32;28497334190.2;"2024-01-22T00:00:00.000Z"
"2781";0.5240883719;0.5395769881;0.4903467369;0.5032881922;7246719884.76;27397092102.13;"2024-01-29T00:00:00.000Z"
"2781";0.503243586;0.5353353081;0.4982325984;0.5260843031;5723753401.09;28675260873.43;"2024-02-05T00:00:00.000Z"
"2781";0.5261020241;0.5784599752;0.5148927355;0.5569030762;8191753826.88;30383851331.45;"2024-02-12T00:00:00.000Z"
"2781";0.5569206189;0.5744642066;0.5267097426;0.5424247352;7899266664.86;29613270171.04;"2024-02-19T00:00:00.000Z"
"2781";0.5424357803;0.6495140461;0.5292327673;0.6270719011;16999168081.11;34278278017.26;"2024-02-26T00:00:00.000Z"
"2781";0.6271682855;0.66851023;0.5502353463;0.6084322282;19174684603.16;33302773671.38;"2024-03-04T00:00:00.000Z"
"2781";0.6084162399;0.7421258934;0.5895977253;0.6192317833;24501839925.2;33934018894.2;"2024-03-11T00:00:00.000Z"
"2781";0.6192317833;0.6642266567;0.5708743221;0.6329498525;16333257812.28;34739163804.9;"2024-03-18T00:00:00.000Z"
