v2_trading_fees,v2_trading_fees_cumulative,v2_trading_volume,v2_trading_volume_cumulative,v2_swaps_fees,v2_swaps_fees_cumulative,v2_swaps_volume,v2_swaps_volume_cumulative
112653.0548,44102463.71,152055345.7,52414992332,3227.610813,1181.042841,5388000.687,2193400834
60977.36039,43989810.66,86689070.78,52262936986,785.0510075,1177.815231,1372177.719,2188012834
71737.24036,43928833.3,94614066.76,52176247915,2754.424193,1177.030179,5079737.994,2186640656
122662.3548,43857096.06,184113983.7,52081633849,3901.219998,1174.275755,7414004.389,2181560918
89468.42437,43734433.7,126780521,51897519865,3562.849,1170.374535,6120600.705,2174146914
144900.8255,43644965.28,227143206.9,51770739344,1950.473459,1166.811686,3644901.361,2168026313
117390.5741,43500064.45,183519127.3,51543596137,2032.204198,1164.861213,3631516.086,2164381412
72410.4003,43382673.88,95634760.59,51360077010,2769.420055,1162.829009,4748943.342,2160749895
43983.27292,43310263.48,58868338.97,51264442249,1329.438772,1160.059589,2415226.21,2156000952
30454.35211,43266280.2,45957190.19,51205573910,937.3195534,1158.73015,1672071.375,2153585726
83520.87926,43235825.85,131341577.6,51159616720,2131.642105,1157.79283,3615099.183,2151913655
77466.96216,43152304.97,118479516.1,51028275142,3421.861539,1155.661188,5839806.051,2148298555
89843.88878,43074838.01,117217035.8,50909795626,2614.88407,1152.239327,4426444.365,2142458749
66425.44382,42984994.12,99880040.97,50792578591,2869.990845,1149.624443,4698449.975,2138032305
110476.6959,42918568.68,154285676.4,50692698550,4564.259608,1146.754452,9737533.365,2133333855
61303.97117,42808091.98,89539387.11,50538412873,4312.777616,1142.190192,11293270.11,2123596322
41442.95123,42746788.01,58874199.23,50448873486,1331.586709,1137.877414,5309298.92,2112303052
71928.92762,42705345.06,110123259.4,50389999287,4935.719196,1136.545828,12880246.78,2106993753
89257.3568,42633416.13,139298592.7,50279876027,3847.577311,1131.610109,10625196.67,2094113506
88450.8687,42544158.78,141223008.9,50140577435,3545.140434,1127.762531,10442907.27,2083488309
145077.4179,42455707.91,212384228.9,49999354426,4755.728556,1124.217391,11130076.14,2073045402
313915.8256,42310630.49,432778414.2,49786970197,20102.17251,1119.461662,37392485.33,2061915326
214720.5813,41996714.66,151797070.6,49354191783,3276.109562,1099.35949,6560174.725,2024522840
175598.0151,41781994.08,135747272.5,49202394712,5814.730882,1096.08338,10978892.88,2017962666
204251.8929,41606396.07,244985464.5,49066647440,4473.794517,1090.268649,8097129.352,2006983773
213942.4561,41402144.17,280693875.5,48821661975,3793.303762,1085.794855,7114670.352,1998886643
146772.4096,41188201.72,102534867.9,48540968100,4771.998152,1082.001551,8337706.522,1991771973
91991.20872,41041429.31,114539033.1,48438433232,2563.148782,1077.229553,4680647.041,1983434267
136603.8663,40949438.1,177464479.8,48323894199,4183.228876,1074.666404,7491072.608,1978753620
54173.66804,40812834.23,53323063.77,48146429719,739.6851764,1070.483175,1404588.471,1971262547
105769.4817,40758660.57,144847605.7,48093106655,2709.1391,1069.74349,4532969.459,1969857958
80804.8048,40652891.08,104094863.9,47948259049,3017.860679,1067.034351,5579719.061,1965324989
217661.7506,40572086.28,231846112.2,47844164186,4195.203082,1064.01649,7504601.262,1959745270
151472.2096,40354424.53,143732847,47612318073,1557.59972,1059.821287,2927027.884,1952240669
241054.018,40202952.32,198412160.3,47468585226,3204.327982,1058.263687,5510831.605,1949313641
105549.071,39961898.3,110000671.7,47270173066,2647.171834,1055.059359,5025254.206,1943802809
84215.9234,39856349.23,111980752.7,47160172394,6697.376774,1052.412188,11917653.79,1938777555
65094.37124,39772133.31,70451657.85,47048191642,1972.777959,1045.714811,3481373.475,1926859901
164076.9925,39707038.94,231163287.3,46977739984,3880.23399,1043.742033,6400496.313,1923378528
94046.87903,39542961.94,133986542.4,46746576696,2394.553544,1039.861799,4222964.033,1916978031
119636.7719,39448915.06,178224303.7,46612590154,3299.517122,1037.467245,5661475.091,1912755067
261354.2025,39329278.29,358128002,46434365850,5237.085178,1034.167728,9251968.249,1907093592
210231.927,39067924.09,213043895.7,46076237848,4598.285489,1028.930643,8314941.916,1897841624
134448.4705,38857692.16,101187665.5,45863193953,2291.459871,1024.332358,3951389.458,1889526682
42432.357,38723243.69,54883552.66,45762006287,2151.12308,1022.040898,3666404.723,1885575293
67306.06574,38680811.33,99402063.53,45707122734,2328.11065,1019.889775,4356112.862,1881908888
89576.87428,38613505.27,119749809.2,45607720671,2216.008759,1017.561664,3809424.947,1877552775
161620.7079,38523928.39,238634497.3,45487970862,4694.129397,1015.345655,7996033.929,1873743350
120182.4127,38362307.69,163401060.4,45249336364,2147.112299,1010.651526,3731741.346,1865747316
277036.9883,38242125.27,424384638.5,45085935304,3869.500746,1008.504414,7077841.124,1862015575
126714.1448,37965088.29,142727382.2,44661550665,809.6364804,1004.634913,1570670.989,1854937734
186753.1156,37838374.14,222884193.8,44518823283,1713.128833,1003.825276,2950507.944,1853367063
377031.3652,37651621.03,428431190.5,44295939089,8949.836397,1002.112147,16002419.93,1850416555
318763.7374,37274589.66,356563638.1,43867507899,4312.330312,993.1623111,8084941.574,1834414135
287070.0755,36955825.92,332972521.1,43510944261,3202.923183,988.8499808,5708269.916,1826329193
119991.4117,36668755.85,118364050.8,43177971740,1737.336541,985.6470576,2921447.45,1820620923
116835.6901,36548764.44,154878357.8,43059607689,2250.727028,983.9097211,4391227.397,1817699476
122690.7183,36431928.75,122856703.9,42904729331,2084.730958,981.658994,3475926.965,1813308249
37591.98979,36309238.03,36706524.57,42781872627,937.3457941,979.5742631,1562145.614,1809832322
69787.85529,36271646.04,73040399.11,42745166103,1848.667718,978.6369173,3278131.971,1808270176
92297.9109,36201858.18,73770773.54,42672125703,2002.665372,976.7882496,3490454.258,1804992044
54926.01435,36109560.27,73711756.19,42598354930,1733.68651,974.7855842,2855564.497,1801501590
73926.6394,36054634.26,95765497.4,42524643174,1787.547706,973.0518977,3203638.253,1798646025
278267.8598,35980707.62,368845835.7,42428877676,4505.933949,971.26435,8306381.332,1795442387
112141.4143,35702439.76,139975470.3,42060031841,1170.243939,966.758416,2009366.011,1787136006
39167.46541,35590298.34,37279180.72,41920056370,2637.021175,965.5881721,4607502.914,1785126640
155126.6733,35551130.88,193469453.5,41882777190,4925.686093,962.9511509,8461222.423,1780519137
92408.67849,35396004.2,106280352.8,41689307736,2141.078981,958.0254648,3767955.855,1772057914
80773.73509,35303595.53,102912014.4,41583027383,2614.873013,955.8843858,4515141.772,1768289958
148929.2164,35222821.79,212192160.7,41480115369,2873.056001,953.2695128,5383298.223,1763774817
