pool,Fee Tier,Start Date,Expiry Date,Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio*,EfficientRatioB**
ether.fi weETH 26SEP2024,0.003,14 May 2024,26 Sept 2024,2-Restaking,ETH,Ether.fi,1,0.0796045280735651,31236221.185803093,92278.81779516266,121496.43615518977,688.6478939937512,906.689822053655,1287091.7038948839,0.010594808606362336,0.041205102763194314
Renzo ezETH 26DEC2024,0.001,21 Apr 2024,26 Dec 2024,2-Restaking,ETH,Renzo,1,0.08730041042616979,31179362.051667776,214609.7911863613,373231.3773472039,894.2074632765055,1555.1307389466829,691802.23408089,0.018205078050504152,0.02218782516892085
Corn Lombard LBTC 26DEC2024,0.001,9 Sept 2024,26 Dec 2024,2-Restaking,BTC,Lombard,1,0.09234263965674454,30273843.245164394,34760.71525122,93055.55302651998,324.8664976749532,869.678065668411,2779651.6103869453,0.010485371526777436,0.0918169387307948
Renzo ezETH 25APR2024,0.001,28 Jan 2024,25 Apr 2024,2-Restaking,ETH,Renzo,1,0.4365667450544326,30038461.266403638,235582.28231936868,996282.4716149746,2739.3288641787058,11584.679902499704,35554040.6956979,0.14076647025663847,1.1836172425870275
Ether.Fi Liquid Bera ETH 10APR2025,0.003000001,7 Jan 2025,10 Apr 2025,1-Staking,ETH,Ether.fi,1,0.13422525158173737,28896716.10205647,70736.20169550246,71141.2541307234,2281.812957919434,2294.879165507207,3166119.471210987,0.02898706179801931,0.1095667569985804
Ether.Fi Liquid Bera BTC 10APR2025,0.0025,7 Jan 2025,10 Apr 2025,1-Staking,BTC,Ether.fi,1,0.15850186879703362,27746111.60880106,87367.78200567003,88517.00332214001,2818.315548570001,2855.3872039400003,4542662.6521745715,0.037562608560527434,0.16372249619055235
Corn ether.fi eBTC 27MAR2025,0.001,16 Oct 2024,27 Mar 2025,2-Restaking,BTC,Ether.fi,1,0.07355636529210205,27483601.231365878,68733.80870243003,109289.19803308998,602.9281465125441,958.6771757288595,2569127.916717783,0.012731852940061147,0.09347857637323545
Bedrock uniBTC 27MAR2025,0.0015,10 Dec 2024,27 Mar 2025,2-Restaking,BTC,Bedrock,1,0.04196242783109001,26501574.225242876,732.9802867500001,1059.1371414900002,18.324507168750003,26.478428537250004,55235.20222168476,0.00036468121983827844,0.0020842234409257456
SolvBTC Babylon 27MAR2025,0.0015,10 Dec 2024,27 Mar 2025,2-Restaking,BTC,Solv Finance,1,0.07158693641822533,26086547.19480329,12034.435434339735,27440.650870659727,267.431898540883,609.7922415702161,818316.6667525505,0.00853214365669168,0.03136929777029164
stETH 25DEC2025,0.0005,5 Apr 2023,25 Dec 2025,1-Staking,ETH,Lido,1,0.03629860999037972,25718653.83720351,60888.891481927705,337500.6508655641,115.31987023092368,639.2057781544775,118999.10276140172,0.009071629895686372,0.004626956897303182
Zircuit Staking ezETH 27JUN2024,0.001,12 Mar 2024,27 Jun 2024,2-Restaking,ETH,Renzo,1,0.331625974345899,25655900.34844803,226964.62006554846,1102091.1385036753,2161.5678101480808,10496.106080987383,13114601.461342901,0.14932544434333772,0.5111729186357019
Ethena USDe 25JUL2024,0.01,2 Apr 2024,25 Jul 2024,6-Stablecoins,Stable,Ethena,1,0.3643142816198674,24853166.409119014,1897019.0241906056,2471809.2394662774,16640.517756057943,21682.537188300677,7460368.949894399,0.3184353230269255,0.3001778053985537
ether.fi eBTC 26DEC2024,0.002,27 Aug 2024,26 Dec 2024,2-Restaking,BTC,Ether.fi,1,0.062212236726107185,24818626.35466653,87304.04244629003,120753.16782388008,727.5336870524169,1006.276398532334,2575885.4413548415,0.01479900137161466,0.10378839684938927
Super Symbiotic LRT 26DEC2024,0.001,13 Aug 2024,26 Dec 2024,2-Restaking,ETH,Ether.fi,1,0.05764247567530517,23647023.261810683,12751.177920264181,19203.129416733875,95.87351819747505,144.38443170476597,487576.65299395897,0.002228623746370194,0.020618944194188804
Kelp Gain 26DEC2024,0.001,19 Aug 2024,26 Dec 2024,5-Derivative,Other,Gains,1,0.07208284299884693,23586345.05519904,17165.45374849575,46251.944754824144,136.23375990869644,367.07892662558845,643781.6534217253,0.005680566781533042,0.02729467630169428
USD0++ 30JAN2025,0.002,18 Nov 2024,30 Jan 2025,7-RWA,Stable,Usual,1,0.21385290862422254,23562380.681963783,274557.77395611966,301930.8325647399,3922.2539136588525,4313.297608067714,9822110.838204056,0.0668164073993521,0.4168556212879862
Puffer ETH 26SEP2024,0.003,20 May 2024,26 Sept 2024,2-Restaking,ETH,Puffer Finance,1,0.1215339961644216,19195844.784194782,103595.39198530416,145989.6603505956,822.1856506770172,1158.6480980206,2096802.3715263424,0.022031151039819088,0.10923209658648518
SolvBTC Bera Vault 10APR2025,0.002,24 Jan 2025,10 Apr 2025,1-Staking,BTC,SolvProtocol,1,0.13638828008842818,18335437.64015499,5469.082233052747,5565.983449790997,390.6487309323391,397.5702464136426,621921.0991917754,0.007914353766128755,0.03391907580268252
weETH 25APR2024,0.001,6 Feb 2024,25 Apr 2024,2-Restaking,ETH,Ether.fi,42161,0.4371125653645382,18116813.40920273,227377.06737359252,471268.6631318693,2915.0906073537503,6041.905937588068,29453373.29098089,0.1217264657646377,1.625748006877389
Ethena sUSDE 24OCT2024,0.001,17 Jul 2024,24 Oct 2024,6-Stablecoins,Stable,Ethena,1,0.1307811281625277,17845832.064221352,54925.64186827731,85494.68386130307,554.8044633159324,863.5826652656875,4827301.781720935,0.01766281738434196,0.2705002358169148
Staked ENA 24APR2025,0.005,9 Oct 2024,24 Apr 2025,6-Stablecoins,Other,Ethena,1,0.45086554313814353,17672360.685597975,294027.375595312,392707.27846653434,2429.9783107050575,3245.5146980705317,1275733.0655048513,0.06703195378765324,0.07218803917602844
Lombard LBTC 29MAY2025,0.001,26 Nov 2024,29 May 2025,2-Restaking,BTC,Lombard,8453,0.07009698053623709,17468587.490503654,33852.31446689001,59118.227172940016,463.7303351628769,809.8387283964386,1263956.3490889794,0.016921295784526967,0.07235595607121048
Zircuit Ether.fi weETH 27JUN2024,0.003,26 Mar 2024,27 Jun 2024,2-Restaking,ETH,Ether.fi,1,0.3656919953567026,17091843.360025894,277955.8518617229,636191.3189347581,3021.259259366553,6915.123031899544,7794216.45917802,0.1476739432650352,0.4560196518888652
USD0++ 26JUN2025,0.002,19 Nov 2024,26 Jun 2025,7-RWA,Stable,Usual,1,0.21577016501949045,16934201.214285333,103977.20133140094,254095.53434841626,1316.1671054607714,3216.3991689672944,1353541.975006506,0.06932631080837244,0.07992948459031458
Puffer ETH 27JUN2024,0.001,26 Feb 2024,27 Jun 2024,2-Restaking,ETH,Puffer Finance,1,0.31935925716482566,16571641.109616712,108085.3769915715,636283.7044608465,893.2675784427396,5258.543012073112,7014326.819913002,0.11582245757741227,0.4232729138602035
Ethena USDe 27MAR2025,0.001,17 Sept 2024,27 Mar 2025,6-Stablecoins,Stable,Ethena,1,0.17451595568237732,16425656.833502896,208829.93282157645,330711.52180207014,1491.6423772969747,2362.2251557290724,3861673.013747579,0.052491793209905914,0.23510006649299076
Corn Lombard LBTC 27FEB2025,0.001999997,23 Dec 2024,27 Feb 2025,2-Restaking,BTC,Lombard,1,0.09246158950029781,16311885.674864313,19381.43974564,22833.436874690007,421.33564664434783,496.379062493261,1595899.5702528849,0.011107137545061742,0.09783660835191331
Syrup USDC 30JAN2025,0.002,15 Oct 2024,30 Jan 2025,6-Stablecoins,Stable,Syrup,1,0.15818741999081515,16204257.58927144,26683.349172201288,56428.0327243918,266.83349172201287,564.280327243918,696345.186976785,0.012710382953946261,0.04297297689453068
